Facility Id,Zip Code,Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions 
1002685,0,205454.158,200728.2,4563.25,162.708
1004377,75454,325416.25,,325416.25,
1010040,40701,51538.75,,51538.75,
1000112,11232,68839.396,68769.8,31.75,37.846
1003742,60154,106294.198,293.9,106000,0.298
1003188,76801,29520.04,29489.9,13.75,16.39
1005043,55144,87926.142,87820.6,44.75,60.792
1003739,35563,29837.692,29808.1,13.5,16.092
1007698,54401,41528.144,41485.4,19.5,23.244
1004206,35609,38181.6856,36887.4,17.25,21.158
1006665,61242,650245.0238,35151.3,17.5,22.052
1004836,55016,24091.662,23309.9,10.5,13.112
1003408,72206,32759.776,32725.8,15.5,18.476
1004914,55350,37329.26,37290.9,17.5,20.86
1004804,64772,34976.268,34940.1,16.5,19.668
1013282,27559,28141.944,28112.9,13.25,15.794
1001106,49423,55105.196,55049.3,25.5,30.396
1004680,33178,56991.75,,56991.75,
1000766,10019,201079.112,200865.7,96,117.412
1000767,10021,253920.246,253582.5,136,201.746
1001033,47620,3293747.068,3267724.5,9523.5,16499.068
1012058,33538,313745.5,,313745.5,
1013527,49958,112263.528,112147.9,52.75,62.878
1002983,60064,57247.084,57187.9,27,32.184
1007514,617,63109.69,63030.5,33,46.19
1004511,35217,181168.22,181006.2,53.25,108.77
1005353,57451,192048.576,191850.2,90.5,107.876
1006971,21005,100250.064,100116.2,54,79.864
1002627,50472,151051.83,150886.4,80.5,84.93
1006529,70531,46562.5,,46562.5,
1004761,54768,75972.164,75893.8,35.75,42.614
1005601,78621,24461.508,24436.3,11.5,13.708
1005046,79252,37964.008,37925.1,17.75,21.158
1002731,49355,126690.172,126559.2,59.75,71.222
1003752,71019,321029.94,321027.2,1.25,1.49
1003422,61048,93889.296,93792.3,44.25,52.746
1002154,56001,106717.082,106155,209.25,352.832
1006047,52404,2839787.82,2821683.7,7505.75,10598.37
1006208,52732,2160740.234,2143652.6,6431.75,10655.884
1010610,64741,42746.838,42702.7,20,24.138
1011855,44830,27102.548,27074.6,12.75,15.198
1000376,62305,96735.636,96635.9,45.5,54.236
1006080,37410,21700.268,21677.8,10.25,12.218
1000034,50313,151811.58,150758.8,386.75,666.03
1014236,28461,89098.308,89005.1,42.25,50.958
1011961,31601,63147.99,63078.5,30.75,38.74
1001991,49221,6471.75,,6471.75,
1001633,35131,24218.25,,24218.25,
1001636,31601,118347,,118347,
1006790,35004,30115.25,,30115.25,
1002094,61704,3525.5,,3525.5,
1001845,54495,21202.688,357.4,20843.5,1.788
1003038,63552,31791.7,80.2,31711.5,
1006979,63021,4912.25,,4912.25,
1001637,61020,132970.988,503.6,132443.25,24.138
1006963,62522,38047.448,692.4,37354.75,0.298
1000627,23836,60013.56,59948.8,29,35.76
1000630,23860,1163957.716,1163400.4,254.25,303.066
1005310,785,3474944.396,3451922.8,8419,14602.596
1001444,90803,1762449.42,1760660.2,816.25,972.97
1005972,96707,642018.812,636257.4,2105.25,3656.162
1001447,92646,1542174.184,1540608,714.5,851.684
1001450,90277,197812.016,197610.9,91.75,109.366
1001223,21502,1406084.794,1394818.1,4121.25,7145.444
1003853,62201,51466.256,51413.1,24.25,28.906
1007551,13669,6188.476,6181.9,3,3.576
1002069,50536,24229.608,24204.4,11.5,13.708
1006054,50533,71687.28,71613.3,33.75,40.23
1002408,51201,27479.596,27451.1,13,15.496
